³¯Â¥,¿äÀÏ,È¨,¾î¿þÀÌ,°üÁß¼ö,È¨ÆÀ ¼øÀ§,È¨ÆÀ½Â·ü,È¨ÆÀ¿¬½Â,È¨ ¿¬½Â ¼ýÀÚ·Î,¾î¿þÀÌ ¼øÀ§,¾î¿þÀÌ ½Â·ü,¾î¿þÀÌ ¿¬½Â,¾î¿þÀÌ ¿¬½Â ¼ýÀÚ·Î,Æò±Õ±â¿Â,ÇÕ°è ÀÏ»ç·®(MJ/m2),ÀÏ°­¼ö·®(mm),°øÈÞÀÏ ¹× ÁÖ¸»,ÀÌº¥Æ® ¿©ºÎ,°æ±â ½Ã°£,°üÁß¼ö,ºñÀ²(y)
2023-08-16,¼ö,µÎ»ê,KT,"5,160",5,0.5,4ÆÐ,-4,3,0.55,4½Â,4,27.3,15.46,0,0,,1,"5,160",0.217
2023-08-17,¸ñ,µÎ»ê,KT,"4,943",7,0.495,5ÆÐ,-5,3,0.554,5½Â,5,28.2,18.24,,0,,1,"4,943",0.208
2023-08-19,Åä,µÎ»ê,NC,"12,240",5,0.5,1½Â,1,4,0.515,1ÆÐ,-1,29.1,21.24,,1,,1,"12,240",0.515
2023-08-20,ÀÏ,µÎ»ê,NC,"8,286",5,0.495,1ÆÐ,-1,4,0.52,1½Â,1,28.3,15.87,0,1,,0,"8,286",0.349
2023-08-24,¸ñ,LG,·Ôµ¥,"15,547",1,0.631,1½Â,1,7,0.476,4ÆÐ,-4,25.1,12.56,5,0,1,1,"15,547",0.655
2023-08-25,±Ý,µÎ»ê,SSG,"8,363",5,0.514,4½Â,4,3,0.548,1ÆÐ,-1,26.5,20.42,0,0,,1,"8,363",0.352
2023-08-26,Åä,µÎ»ê,SSG,"15,101",5,0.509,1ÆÐ,-1,3,0.552,1½Â,1,26.4,19.84,,1,1,1,"15,101",0.636
2023-08-27,ÀÏ,µÎ»ê,SSG,"11,300",6,0.505,2ÆÐ,-2,3,0.557,2½Â,2,26.1,12,0,1,1,0,"11,300",0.476
2023-08-31,¸ñ,LG,µÎ»ê,"17,859",1,0.617,1½Â,1,6,0.5,3ÆÐ,-3,23.9,18.53,,0,1,1,"17,859",0.752
2023-09-01,±Ý,LG,ÇÑÈ­,"20,381",1,0.62,2½Â,2,10,0.408,8ÆÐ,-8,24.5,24.59,,0,,1,"20,381",0.858
2023-09-02,Åä,LG,ÇÑÈ­,"23,574",1,0.615,1ÆÐ,-1,10,0.413,1½Â,1,25.4,23.72,,1,,0,"23,574",0.993
2023-09-03,ÀÏ,LG,ÇÑÈ­,"22,858",1,0.609,2ÆÐ,-2,10,0.419,2½Â,2,25.8,12.19,0,1,1,0,"22,858",0.962
2023-09-06,¼ö,µÎ»ê,KIA,"20,468",6,0.495,2ÆÐ,-2,5,0.533,9½Â,9,27.9,22.64,,0,1,1,"20,468",0.862
2023-09-07,¸ñ,µÎ»ê,KIA,"21,838",6,0.5,1½Â,1,5,0.528,1ÆÐ,-1,26.3,24.56,,0,1,1,"21,838",0.919
2023-09-08,±Ý,µÎ»ê,»ï¼º,"15,991",6,0.504,2½Â,2,9,0.427,2ÆÐ,-2,25.3,24.13,,0,,1,"15,991",0.673
2023-09-09,Åä,µÎ»ê,»ï¼º,"14,279",6,0.504,1½Â,1,9,0.429,1ÆÐ,-1,25.8,22.64,,1,,0,"14,279",0.601
2023-09-09,Åä,µÎ»ê,»ï¼º,"21,514",6,0.504,1½Â,1,9,0.429,1ÆÐ,-1,25.8,22.64,,1,,0,"21,514",0.906
2023-09-10,ÀÏ,µÎ»ê,»ï¼º,"17,467",6,0.509,2½Â,2,9,0.425,2ÆÐ,-2,25.7,14.57,,1,1,0,"17,467",0.735
2023-09-12,È­,µÎ»ê,ÇÑÈ­,"10,169",6,0.513,3½Â,3,8,0.442,1ÆÐ,-1,25.7,12.52,,0,1,1,"10,169",0.428
2023-09-14,¸ñ,µÎ»ê,SSG,"7,257",6,0.517,4½Â,4,5,0.525,2ÆÐ,-2,23.4,13.7,,0,1,1,"7,257",0.306
2023-09-16,Åä,LG,SSG,"18,576",1,0.605,2½Â,2,5,0.521,3ÆÐ,-3,23.9,6.3,39,1,,0,"18,576",0.782
2023-09-17,ÀÏ,LG,SSG,"15,193",1,0.612,4½Â,4,6,0.512,5ÆÐ,-5,24.7,12.49,3,1,,0,"15,193",0.64
2023-09-17,ÀÏ,LG,SSG,"14,237",1,0.612,4½Â,4,6,0.512,5ÆÐ,-5,24.7,12.49,3,1,,0,"14,237",0.599
2023-09-19,È­,µÎ»ê,NC,"6,726",4,0.525,1ÆÐ,-1,3,0.555,2½Â,2,24.1,8.98,,0,,1,"6,726",0.283
2023-09-22,±Ý,LG,NC,"16,269",1,0.613,1ÆÐ,-1,3,0.554,1½Â,1,20.5,20.37,,0,,1,"16,269",0.685
2023-09-23,Åä,LG,ÇÑÈ­,"22,765",1,0.616,1½Â,1,8,0.43,2ÆÐ,-2,21.8,19.69,,1,1,0,"22,765",0.959
2023-09-24,ÀÏ,LG,ÇÑÈ­,"20,369",1,0.619,2½Â,2,8,0.426,3ÆÐ,-3,21.8,19.16,,1,,0,"20,369",0.858
2023-09-27,¼ö,LG,KT,"5,656",1,0.625,4½Â,4,2,0.557,2ÆÐ,-2,21.5,6.65,4,0,,0,"5,656",0.238
2023-09-27,¼ö,LG,KT,"14,733",1,0.625,4½Â,4,2,0.557,2ÆÐ,-2,21.5,6.65,4,0,,1,"14,733",0.62
2023-09-28,¸ñ,LG,»ï¼º,"21,057",1,0.62,1ÆÐ,-1,9,0.423,1½Â,1,22.7,17.06,,1,,0,"21,057",0.887
2023-09-29,±Ý,µÎ»ê,LG,"20,951",4,0.531,1½Â,1,1,0.615,2ÆÐ,-2,21.1,16.39,,1,1,0,"20,951",0.882
2023-09-30,Åä,µÎ»ê,LG,"23,750",4,0.535,2½Â,2,1,0.611,3ÆÐ,-3,19.7,7.45,5,1,1,0,"23,750",1
2023-10-01,ÀÏ,µÎ»ê,LG,"23,750",4,0.531,1ÆÐ,-1,1,0.614,1½Â,1,18.4,20.05,,1,1,0,"23,750",1
2023-10-02,¿ù,µÎ»ê,Å°¿ò,"18,050",4,0.534,1½Â,1,10,0.404,3ÆÐ,-3,18.2,19.93,,1,1,0,"18,050",0.76
2023-10-03,È­,µÎ»ê,Å°¿ò,"14,588",4,0.53,1ÆÐ,-1,10,0.409,1½Â,1,17.5,9.4,,1,1,0,"14,588",0.614
2023-10-06,±Ý,LG,KIA,"23,750",1,0.618,1ÆÐ,-1,6,0.5,1½Â,1,15.5,17.92,,0,,1,"23,750",1
2023-10-07,Åä,µÎ»ê,·Ôµ¥,"19,916",4,0.526,2ÆÐ,-2,7,0.478,1½Â,1,16.8,13.16,,1,,0,"19,916",0.839
2023-10-08,ÀÏ,µÎ»ê,·Ôµ¥,"21,392",3,0.53,1½Â,1,7,0.474,1ÆÐ,-1,17.1,5.92,0,1,1,0,"21,392",0.901
2023-10-09,¿ù,LG,·Ôµ¥,"22,807",1,0.609,3ÆÐ,-3,7,0.478,1½Â,1,17.4,11.77,1,1,,0,"22,807",0.96
2023-10-10,È­,LG,·Ôµ¥,"18,521",1,0.612,1½Â,1,7,0.475,1ÆÐ,-1,17.1,18.62,,0,,1,"18,521",0.78
2023-10-12,¸ñ,µÎ»ê,NC,"7,113",5,0.526,1½Â,1,4,0.529,1ÆÐ,-1,17.5,14.4,,0,,1,"7,113",0.299
2023-10-13,±Ý,µÎ»ê,KIA,"19,188",5,0.529,2½Â,2,6,0.507,1ÆÐ,-1,17.5,9.14,,0,1,1,"19,188",0.808
2023-10-14,Åä,LG,µÎ»ê,"21,771",1,0.603,2ÆÐ,-2,3,0.532,3½Â,3,14.7,6.54,6,1,,0,"21,771",0.917
2023-10-15,ÀÏ,LG,µÎ»ê,"23,750",1,0.606,1½Â,1,5,0.529,1ÆÐ,-1,16.1,13.73,,1,1,0,"23,750",1
2023-10-16,¿ù,µÎ»ê,SSG,"15,850",5,0.525,2ÆÐ,-2,3,0.536,1½Â,1,14.7,18,,0,,1,"15,850",0.667
