home_rank,home_winning_rate,home_winning,away_rank,away_winning_rate,away_winning,temp,insolation,rain,holiday,event,time,target,year,month,MON,TUE,WEN,THUR,FRI,SAT,SUN,LG,DOOSAN,KIA,KT,NC,SSG,LOTTE,SAMSUNG,KIWOOM,HANHWA
5,0.526,-1,1,0.692,2,19.9,20.97,0,0,0,1,0.31,2022,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
7,0.513,1,6,0.525,1,20.6,25.74,0,0,1,1,0.652,2022,5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
4,0.525,1,7,0.512,-1,20.1,24.88,0,1,0,0,0.867,2022,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
7,0.512,1,6,0.524,1,20.3,24.3,0,1,1,0,0.806,2022,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2,0.578,-1,3,0.556,1,22.9,28.86,0,0,0,1,0.256,2022,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0.565,-1,2,0.565,2,21,22.59,4,0,1,1,0.292,2022,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,0.553,1,2,0.574,3,18.7,28.88,0,0,0,1,0.28,2022,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0.563,2,6,0.489,-4,20,28.71,0,0,1,1,0.58,2022,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.571,3,6,0.479,-5,22.3,27.49,0,1,1,0,0.888,2022,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3,0.56,-1,6,0.49,1,23.1,21.5,0,1,1,0,0.734,2022,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
5,0.5,-2,3,0.56,1,20.7,27.48,0,0,0,1,0.766,2022,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6,0.49,-1,3,0.569,2,22.1,30.79,0,1,0,0,0.979,2022,6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6,0.48,-1,3,0.577,3,21.5,27.13,0,0,0,1,0.464,2022,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
3,0.566,1,1,0.673,-2,24.5,27.2,0,0,1,1,0.399,2022,6,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
3,0.574,2,1,0.66,-3,25.6,18.22,0,1,1,0,0.688,2022,6,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
